,Motivation
27,Please remember that having a bad day does not mean you have – or will have – a bad life. Hope is one of the most powerful emotions a person can have. Combine it with determination and there’s no stopping you.
28,"In any given moment, we have two choices: to step forward into growth, or step backwards into safety. Stepping backwards may make us feel better in the short term, but stepping forwards will undoubtedly make us feel better in the long term."
29,Never put the key to your happiness in someone else’s pocket.
30,"Just because you’re going through a rough patch, it doesn’t mean you always will be. Recovery is possible. We promise you."
31,"Just because you have a mental illness, it doesn't mean that you are that illness. You're still a person – just like everybody else."
32,Recovery is a process. It takes time. It takes patience. It takes hard work. It takes everything you’ve got. But it IS possible.
33,"Sometimes, you just need to cry your eyes out to be able to keep going. And you know what? That's OK."
34,"Listen to positive people and ignore negative ones. After all, people who doubt, judge and disrespect you are not worth your energy."
35,"Healing is a process, not an event. Give it time. Good things happen to those who never give up."
36,Mental illness is NOT a life sentence.
37,"Don’t be upset or caught up with things or people you cannot change. Instead, move on, let go, and concentrate on what you can change."
38,"When your depression tells you that it’s impossible to be free of it, it is LYING!"
39,"Today, do one little thing to take better care of yourself. Then, do it again tomorrow."
40,"When something goes wrong, take a moment to be thankful for all the things in your life that are going right."
41,No-one ever injured their eyesight by looking on the bright side.
42,You’re allowed to scream. You’re allowed to cry. You’re allowed to fall apart. But you are not allowed to give up.
43,Scars tell where we have been. They do not have to dictate where we are going.
44,"Remember, breakdowns can create breakthroughs. Sometimes, things fall apart so that other things can fall together."
45,Never forget that you are worthy of love and respect.
46,Sometimes you have to fight through your worst days in order to earn the best days of your life. Remember that life’s greatest lessons are usually learned at the worst times and from the worst mistakes.
47,"You might be sad because you’ve been through a lot, but you should also be proud of yourself for being strong enough to make it through everything you’ve been through."
48,"When you say you suffer from a physical illness, you get sympathy. When you say you suffer from depression, you sometimes get blamed. We know it sucks, but at the very least, please take solace in the fact that you are not alone – as evidenced by the fact that 350 million people in the world struggle with depression."
49,"If someone doesn’t respect you, appreciate you and value you, then they don’t deserve you."
50,"If you’re going through a hard time right now, make sure you do something today that makes you smile."
51,"When you’re struggling with depression, it’s really important to schedule some time in for daily self-care that gives you a lift."
52,"In the context of mental health, courage can be defined as the strength to ask for help."
53,"Starting today, stop keeping track of all the mistakes you’ve ever made. It’s time to forgive yourself and start being your own best friend."
54,Always look for something positive in each day ... even if some days you need to look a little harder than others.
55,"Things may seem gloomy ahead and you may feel like giving up, but if you don’t keep going, then you will never know what is just around the corner."
56,Sometimes it’s OK if the only thing you did today was breathe.
57,Never be ashamed of a scar. It simply means that you were stronger than whatever tried to hurt you.
58,"You are NOT your illness. You have an individual story to tell. You have a name, a history, a personality. Staying yourself is part of the battle."
59,"It is not weak to say, “I’m not OK, and I need help”. On the contrary, it is brave. It is courageous. And in the end, it could save your life."
60,"Whenever you find yourself doubting how far you can go, just remind yourself how far you have come. Remind yourself of everything you have faced, all the battles you have won, and all the fears you have overcome."
61,"No matter who gives up on you, don’t you ever give up on yourself. Don’t carry your mistakes around with you. Instead, place them under your feet and use them as stepping stones."
62,Never stop doing your best just because someone doesn’t give you credit for it.
63,Sometimes the hardest part of the journey is believing you’re worth the trip – but we’re here to tell you that you are.
64,"Life is like a camera: focus on what’s important, capture the good times, develop from the negatives, and if things don’t work out, take another shot. Whatever you do, never forget that you’re human. It’s OK to have a meltdown. Just don’t unpack and live there. Cry it out and then refocus on where you are heading."
65,Remember: Your illness does not define you. Your strength and your courage does.
66,"No one is ever too broken, too scarred or too far-gone to recover. If you keep on fighting, then anything’s possible."
67,"Never let someone who doesn’t know your value tell you how much you’re worth. Never, ever forget that you are special, and that you touch more lives than you’ll ever know."
68,"Maybe not today, tomorrow, or even in a year, but if you keep fighting and never give up, then things will eventually turn around, and you’ll be able to look back with relief and shout, ‘Yes! I made it!’"
69,Never forget that walking away from something unhealthy is a very brave thing to do – even if you stumble a little on your way out the door.
70,Depression is a war. Don’t give up just because you lost a battle.
71,"Some days, life is all about your dreams, hopes and vision for the future. But on other days, all it’s about is trying to put one foot in front of the other. And you know what? That’s OK. Relationships are like glass – sometimes it’s better to leave them broken than to hurt yourself trying to put them back together."
72,"MYTH: You will be depressed forever. FACT: With the right help, you can beat your depression and go on to live a happy, healthy, fulfilling life."
73,"Stop beating yourself up. You are a work in progress, which means you get there a little at a time, not all at once."
74,"If sometimes all you want is for someone to acknowledge just how difficult struggling with depression is, then here’s your acknowledgement. We understand, and we’re proud of you for not giving up."
75,"Someday, everything will make perfect sense. So for now, laugh at the confusion, smile through the tears, and keep reminding yourself that everything happens for a reason."
76,"Don’t compare your progress with that of others. After all, we all need our own time to travel our own distance."
77,"If you’ve ever had suicidal thoughts, then we’re glad you’re still here. Keep holding on."
78,Finding the right therapist is a bit like dating ... sometimes you have to try a few before you find a good match.
79,"Don’t change so people will like you. Be yourself and the right people will love the real you. Don’t look back, because if you do, you might fall over what is in front of you."
80,"If you’re thinking about giving up today, just live until tomorrow. And when you do, read this again."
81,"Just because your path is different, it doesn’t mean you’re lost."
82,"Recovery often involves doing what you should do instead of what you want to do. But in the end, it is so, so worth it."
83,"You may have to fight a battle more than once to win it, but if you never give up, you will get there eventually."
84,The past is like an anchor that holds you back. You have to be able to let go of who you were in order to become who you want to be.
85,"When you find the courage to let go of what you can’t change, you’ll take a giant leap forward in your quest to recover from depression."
86,"Hating yourself will never, ever get you as far as loving yourself will."
87,Beautiful things happen when you distance yourself from negativity.
88,"The world will not end if you do not figure everything out tonight, so stop pacing, stop sweating, and stop fretting. Instead, go to bed and start again tomorrow."
89,There comes a time when you have to stop crossing oceans for people who wouldn’t jump puddles for you.
90,"When you focus on problems, you’ll have more problems. When you focus on possibilities, you’ll have more opportunities."
91,"No matter how far you’ve travelled down the wrong road, you can always turn around and get back on the right track."
92,"One of the most dangerous myths surrounding depression is that it is a life sentence, when in reality, if you seek the right help and keep on fighting, you CAN recover, and live a happy, healthy, depression-free life."
93,"When everything feels like an uphill struggle, just think of the view from the top."
94,"Life has many chapters, and one bad one does not mean that it’s the end of the book."
95,"If you’re feeling suicidal, write down your dreams. Block everything else out and picture them coming true. Use them as reasons to keep on fighting."
96,"Eat like you love yourself, move like you love yourself, speak like you love yourself, and act like you love yourself."
97,"Would you be as critical to your loved ones as you are to yourself? That’s what we thought. Please, be kind to yourself."
98,"Just because your life may not have turned out the way you’d planned, it doesn’t mean that it won’t turn out OK."
99,"It’s hard for a person to beat depression, but it’s even harder for depression to beat a person who never gives up."
100,Being yourself is the prettiest thing you can be.
101,"No matter what you’re going through right now, having a positive attitude is going to serve you better than having a negative one."
102,"Instead of counting your troubles, count all the joys you have in life as well."
103,The most beautiful thing in the world is a smile that has struggled through tears.
104,"Recovery does not happen linearly. Sometimes you’ll have bad days, sometimes you’ll have setbacks, and sometimes you’ll feel so low and broken that you’ll want to give up. But if you keep taking little steps forward, you’ll eventually get there."
105,"Depression isn’t pretty, but having depression doesn’t make you ugly. Anxiety is a burden, but having anxiety doesn’t make you a burden. Even though you’re struggling right now, you have nothing to be ashamed of. You are so, so much more than your problems, and you are a warrior for continuing to fight them."
106,"In case no one told you today: you are beautiful. You are loved. You are needed. You are alive for a reason. You are stronger than you think, and if you keep on fighting, then you’re going to get through this."
107,You were given this life because you are strong enough to live it.
108,Don’t compare the lowest points of your life to someone else’s Instagram highlight real and use it as a reason to feel inadequate.
109,"Today, you don’t need to have all the answers. You just need to know what to do next."
110,"If you do everything you can to keep on fighting, then even if they don’t tell you, there’ll be people who’ll find your plight with depression inspiring."
111,"Don’t be ashamed of the times you fell. Instead, be proud of all the times you got back up."
112,In case you didn’t know: studies show that 80% of the things we worry about happening never actually happen.
113,"Having depression is NOT a sign of weakness. It’s a sign of being human, and anyone who tells you otherwise doesn’t understand this illness."
114,Guilt is toxic. Reliving the same mistake over and over again is torture. Constantly criticising and blaming yourself is bullying. Break free of this cycle. Reflect. Learn. Grow. Love yourself. Forgive yourself.
115,"Instead of always focusing on how far you have left to go, make sure you also remember how far you have come."
116,This is just a little reminder that you deserve to be treated as well as you treat everybody else. Don’t accept anything less!
117,It is better to be an imperfect version of yourself than a perfect version of somebody else.
118,"Hope and depression are bitter rivals until one, always and inevitably, defeats the other. Someone failing to see the best in you does not diminish your worth as a person."
119,"Try not to get so comfortable with your demons that you accept them as being a part of you. Instead, seek help so that you can work on liberating yourself from them."
120,"Admitting that you’re not OK is NOT a sign of weakness. It’s a sign of self-awareness, maturity, and emotional strength."
121,"Making mistakes does not mean you’ve failed. Rather, it means you had the courage to try, and if you learn from those mistakes, then you’ll soon succeed."
122,"Don’t let negative, toxic, insecure people drag you down to their level."
123,"Is whatever you’re frustrated about worth ruining the hour, the day, the week?"
124,We cannot in a minute get rid of unhealthy habits we’ve been practising for a lifetime. That’s why it takes time for therapy to work.
125,Don’t ruin a good day by thinking about the possibility of a bad day in the future. Just enjoy the present moment.
126,"If you can’t figure out where you stand with someone, then it might be time to stop standing and start walking."
127,"One day, you’ll wake up and realise that the pain’s still there but that it doesn’t hurt quite as much as it used to. That’s when you’re on the road to healing."
128,"Try not to be discouraged by setbacks. Instead, try to be encouraged by the fact that you have the chance to overcome them."
129,You deserve as much love and support as anybody else.
130,Being imperfect doesn’t mean you’re unworthy. It means you’re human.
